Delta;theta;low alpha; high alpha; low beta; high beta; low gamma; mid gamma
603354;35014;154969;86114;47837;41381;38308;6542
1517669;442606;209929;181623;270298;159944;67457;9905
248468;141269;26944;95992;38221;483313;243557;4385
125046;84576;75559;57771;53025;605829;201285;10676
1073923;292271;67536;28011;17300;188983;393604;3872
1717901;320541;110703;108369;65619;258940;132774;3192
641153;440860;23032;113242;48847;179001;165416;5726
58479;12043;8627;32086;16432;136063;91941;2002
41304;15148;41057;7126;22607;323772;72473;958
331529;62073;47704;12980;33106;311921;125672;31238
661731;258242;197639;94203;43308;155477;109004;70947
2574117;776488;98176;53761;118772;1282065;901143;204614
766435;75948;6752;25417;135886;317893;719616;108216
288790;62704;10068;85600;43257;607617;248856;153154
290216;12897;41692;89385;76799;368043;433504;192562
40497;15988;39017;2294;36297;337471;76155;10594
54121;32149;19871;14067;10552;112514;82975;14602
894984;150006;46077;27274;43485;101274;173739;49314
676058;265560;152903;45420;30257;129127;92336;110516
481764;23286;50408;22801;3854;45966;53821;11102
416870;76008;41433;40618;34796;654288;348333;142301
297352;61355;16294;156171;41987;572604;490789;245880
437687;60389;32829;238562;118767;404614;598100;207092
337746;45992;12699;105672;48425;417107;286066;54796
129357;12754;17731;9983;11723;407174;48372;19596
1025216;336437;7118;89919;30286;160463;96720;58677
708127;129499;46307;34222;75022;133631;340408;66230
1380446;232642;48397;13530;47598;199444;87185;37510
1120636;218890;23237;17401;18978;344659;197015;39824
1530351;28191;75427;36604;56917;674816;301503;91784
677269;61222;23811;47943;23628;316733;348170;54392
451603;39191;54421;201632;87811;354603;626086;274682
464802;93343;24633;137143;37065;451436;242940;48460
69925;13602;34404;17114;10564;376789;81856;18531
1959317;128437;309559;125826;62203;343542;426535;92198
257947;258412;48208;19830;33342;149937;127750;32729
58043;8694;851;7200;8007;6059;8953;4485
601330;75272;36689;186867;71209;422646;249673;137726
561703;37502;75794;130928;53089;348593;314394;93678
301468;16019;42498;33181;14948;41224;61362;23280
379789;298894;37156;94802;45702;269193;138358;74355
1325775;23161;7587;24154;50756;21615;11784;30924
1038811;240034;16517;57546;139697;194011;123497;112081
1053648;17819;26421;77599;75844;243607;110209;112309
1000501;323228;273344;205128;372124;107108;73455;31504
1851680;372401;49180;85341;38216;140029;126226;57800
469138;77182;43785;100471;126707;183861;96902;99211
217268;41705;31912;222866;76563;347885;238402;299777
226412;127807;52469;189224;111052;267643;254245;62682
107177;69108;13470;8188;13400;52276;70766;21867
2335023;770726;529763;62428;147379;148577;77973;123549
453642;21499;11512;11714;58696;56905;29915;31981
332924;37599;9336;14475;54310;55326;18537;28464
465523;53348;35475;39919;10759;22787;17515;13277
537880;46453;47325;83430;62591;152209;346125;102997
59387;31001;12771;11915;15237;370122;69002;15377
201126;94349;17674;82269;17075;375023;339609;125606
28229;45814;6703;28216;10167;288215;76839;30414
89258;16531;28087;22624;39147;49214;70001;14703
411175;29141;50347;21604;14943;40480;38741;19415
1262078;257494;50316;62364;52743;108090;126153;59473
145381;106196;12029;28432;17577;41082;27224;7142
767591;80764;18640;86268;38782;131834;105112;110355
220142;63414;80017;65383;88055;358945;291467;70211
52465;6508;3699;8720;10229;498810;64454;25874
42940;49909;2933;19883;9393;252371;72994;27583
1040695;81633;42681;29698;10283;29367;29795;12772
220810;113723;15270;11467;21132;18782;22704;15840
186411;47358;30604;12526;14796;25233;28402;15821
877274;87368;26790;47100;46060;291612;345416;66226
87974;20848;11831;18950;9806;59706;135557;30589
137494;25112;18753;13737;26472;142003;64372;22281
1227155;351648;274018;117996;135084;354110;83628;58466
1158454;544647;36584;70459;27618;153613;113172;62044
638784;553986;219455;71948;43028;146468;312782;88155
1338417;170625;65825;79043;451566;283107;97615;135246
657305;181048;8748;89191;80194;191570;420322;154222
150764;40518;42765;15176;12160;326332;55686;25218
345034;45469;30209;168740;64209;529527;553028;97444
97668;10504;7048;6662;18591;504150;58737;30980
603403;101966;18491;10893;28709;78365;42714;34815
697421;19568;19625;20190;31465;29266;14622;59398
214654;22449;23303;25680;6675;66473;17468;10279
1063794;305662;133261;68804;136695;171821;96674;92393
837762;68261;7036;22834;14145;84361;20309;18508
1377537;27321;80923;6706;27038;94489;44745;66280
1987;841;285;184;103;79;23;15
2049739;465737;155963;226791;59795;230503;202726;184330
1209591;155742;17254;8736;7041;6269;1749;861
528138;175004;28139;28103;5557;10458;10928;7904
508193;418074;82490;40032;32545;142373;87389;148621
1254297;105374;104528;30405;123207;89444;113380;88181
785376;222201;24624;131556;38366;82339;90345;72362
1792057;129706;100521;258172;84413;221998;133531;64910
1722270;304231;98580;156327;74100;147437;75617;57016
204195;42349;26150;8855;32547;55877;64463;53114
227677;10520;3093;4791;18036;52910;38720;10292
487214;60574;71838;56645;53682;286086;168650;53198
60325;34138;3275;20450;18939;83102;73752;24223
717430;86006;22728;56727;114312;494514;179994;112580
290712;109528;76721;86833;96914;313668;205782;61741
80160;78173;9614;7949;15491;170516;28299;24373
203281;24853;28811;11707;13375;117934;55700;11152
2418957;86340;8921;29594;35446;432970;326844;31856
106280;9259;18162;17045;17591;202426;49644;22266
875911;53891;21455;46517;45853;100168;103453;84878
11275;4816;1496;1061;637;374;124;79
289316;428854;49028;204534;40282;39341;130700;148909
1127374;46090;21667;20786;25708;36637;32858;31291